Итерация,Тип подвески,Xmech1,Xmech2,Xmech3,,Плавность хода,Энергопотребление,Угол крена,Угол дифферента,Проходимость,Итоговая Парето
54,Double Wishbone,10.0,0.05,0.3,,7.625,192965.4753,0.081,0.1815,1,100000000000021.77
55,Double Wishbone,0,0.1,0.3,,3.6061,539.7999,0.0,0.0,1,100000000000001.14
56,Double Wishbone,2.0,0.1,0.3,,3.6061,539.7361,0.0,0.0,1,100000000000001.14
57,Double Wishbone,4.0,0.1,0.3,,3.6061,539.6658,0.0,0.0,1,100000000000001.14
58,Double Wishbone,6.0,0.1,0.3,,3.6061,539.6003,0.0,0.0,1,100000000000001.14
59,Double Wishbone,8.0,0.1,0.3,,3.6061,539.5385,0.0,0.0,1,100000000000001.14
60,Double Wishbone,10.0,0.1,0.3,,3.6061,539.4691,0.0,0.0,1,100000000000001.14
61,Double Wishbone,0,0.15,0.3,,3.6061,154.5717,0.0,0.0,1,100000000000001.1
62,Double Wishbone,2.0,0.15,0.3,,3.6061,154.5562,0.0,0.0,1,100000000000001.1
63,Double Wishbone,4.0,0.15,0.3,,3.6061,154.5561,0.0,0.0,1,100000000000001.1
64,Double Wishbone,6.0,0.15,0.3,,3.6061,154.5605,0.0,0.0,1,100000000000001.1
65,Double Wishbone,8.0,0.15,0.3,,3.6061,154.5635,0.0,0.0,1,100000000000001.1
66,Double Wishbone,10.0,0.15,0.3,,3.6061,154.561,0.0,0.0,1,100000000000001.1
67,Double Wishbone,0,0.2,0.3,,3.6061,67.1299,0.0,0.0,1,100000000000001.1
68,Double Wishbone,2.0,0.2,0.3,,3.6061,67.1262,0.0,0.0,1,100000000000001.1
69,Double Wishbone,4.0,0.2,0.3,,3.6061,67.127,0.0,0.0,1,100000000000001.1
70,Double Wishbone,6.0,0.2,0.3,,3.6061,67.1255,0.0,0.0,1,100000000000001.1
71,Double Wishbone,8.0,0.2,0.3,,3.6061,67.1294,0.0,0.0,1,100000000000001.1
72,Double Wishbone,10.0,0.2,0.3,,3.6061,67.1308,0.0,0.0,1,100000000000001.1
73,Double Wishbone,0,0.05,0.35,,8.7363,239111.9173,0.1677,0.1814,1,100000000000026.78
74,Double Wishbone,2.0,0.05,0.35,,8.8767,264155.0407,0.1441,0.2017,1,100000000000029.33
75,Double Wishbone,4.0,0.05,0.35,,8.3938,219481.0223,0.1157,0.1857,1,100000000000024.67
76,Double Wishbone,6.0,0.05,0.35,,9.2005,277123.0173,0.1157,0.1916,1,100000000000030.69
77,Double Wishbone,8.0,0.05,0.35,,7.3969,193808.2266,0.0783,0.1829,1,100000000000021.78
78,Double Wishbone,10.0,0.05,0.35,,7.5943,206625.5271,0.0853,0.1963,1,100000000000023.14
79,Double Wishbone,0,0.1,0.35,,3.605,415.3097,0.0,0.0,1,100000000000001.12
80,Double Wishbone,2.0,0.1,0.35,,3.605,415.2881,0.0,0.0,1,100000000000001.12
81,Double Wishbone,4.0,0.1,0.35,,3.605,415.2665,0.0,0.0,1,100000000000001.12
82,Double Wishbone,6.0,0.1,0.35,,3.605,415.2448,0.0,0.0,1,100000000000001.12
83,Double Wishbone,8.0,0.1,0.35,,3.605,415.2228,0.0,0.0,1,100000000000001.12
84,Double Wishbone,10.0,0.1,0.35,,3.605,415.2012,0.0,0.0,1,100000000000001.12
85,Double Wishbone,0,0.15,0.35,,3.605,121.3874,0.0,0.0,1,100000000000001.1
86,Double Wishbone,2.0,0.15,0.35,,3.605,121.3787,0.0,0.0,1,100000000000001.1
87,Double Wishbone,4.0,0.15,0.35,,3.605,121.3774,0.0,0.0,1,100000000000001.1
88,Double Wishbone,6.0,0.15,0.35,,3.605,121.3785,0.0,0.0,1,100000000000001.1
89,Double Wishbone,8.0,0.15,0.35,,3.605,121.3797,0.0,0.0,1,100000000000001.1
90,Double Wishbone,10.0,0.15,0.35,,3.605,121.3822,0.0,0.0,1,100000000000001.1
91,Double Wishbone,0,0.2,0.35,,3.605,53.0644,0.0,0.0,1,100000000000001.1
92,Double Wishbone,2.0,0.2,0.35,,3.605,53.0589,0.0,0.0,1,100000000000001.1
93,Double Wishbone,4.0,0.2,0.35,,3.605,53.0607,0.0,0.0,1,100000000000001.1
94,Double Wishbone,6.0,0.2,0.35,,3.605,53.0623,0.0,0.0,1,100000000000001.1
95,Double Wishbone,8.0,0.2,0.35,,3.605,53.0608,0.0,0.0,1,100000000000001.1
96,Double Wishbone,10.0,0.2,0.35,,3.605,53.0595,0.0,0.0,1,100000000000001.1
97,Double Wishbone,0,0.05,0.4,,8.366,198442.2492,0.1077,0.1817,1,100000000000022.56
98,Double Wishbone,2.0,0.05,0.4,,8.741,243848.1991,0.1361,0.1949,1,100000000000027.23
